,sub_cluster,words,cluster
243,Trees/Bushes (Parts),stump,(Super cluster 13: Trees and Plants)
244,Plants and Flowers,berry,(Super cluster 13: Trees and Plants)
245,Plants and Flowers,blossom,(Super cluster 13: Trees and Plants)
246,Plants and Flowers,dandelion,(Super cluster 13: Trees and Plants)
247,Plants and Flowers,rose,(Super cluster 13: Trees and Plants)
248,Plants and Flowers,seed,(Super cluster 13: Trees and Plants)
249,Vegetation (Other),grass,(Super cluster 13: Trees and Plants)
250,Vegetation (Other),lawn,(Super cluster 13: Trees and Plants)
251,Vegetation (Other),root,(Super cluster 13: Trees and Plants)
252,Vegetation (Other),vine,(Super cluster 13: Trees and Plants)
253,Vegetation (General),bush,(Super cluster 13: Trees and Plants)
254,Vegetation (General),flower,(Super cluster 13: Trees and Plants)
255,Vegetation (General),plant,(Super cluster 13: Trees and Plants)
256,Vegetation (General),tree,(Super cluster 13: Trees and Plants)
257,Vegetation (General),vegetation,(Super cluster 13: Trees and Plants)
258,Vegetation (General),weed,(Super cluster 13: Trees and Plants)
259,Ownership/Possession,have,(Super cluster 14: Acquisition and Ownership)
260,Ownership/Possession,belong,(Super cluster 14: Acquisition and Ownership)
261,Ownership/Possession,own,(Super cluster 14: Acquisition and Ownership)
262,Ownership/Possession,possess,(Super cluster 14: Acquisition and Ownership)
263,Giving Up/Losing,show,(Super cluster 14: Acquisition and Ownership)
264,Giving Up/Losing,trade,(Super cluster 14: Acquisition and Ownership)
265,Giving Up/Losing,borrow,(Super cluster 14: Acquisition and Ownership)
266,Giving Up/Losing,lose,(Super cluster 14: Acquisition and Ownership)
267,Giving Up/Losing,loser,(Super cluster 14: Acquisition and Ownership)
268,Giving Up/Losing,share,(Super cluster 14: Acquisition and Ownership)
269,Losing/Winning,loss,(Super cluster 14: Acquisition and Ownership)
270,Losing/Winning,winner,(Super cluster 14: Acquisition and Ownership)
271,Losing/Winning,champion,(Super cluster 14: Acquisition and Ownership)
272,Losing/Winning,defeat,(Super cluster 14: Acquisition and Ownership)
273,Losing/Winning,win,(Super cluster 14: Acquisition and Ownership)
274,Receiving/Taking Actions,get,(Super cluster 14: Acquisition and Ownership)
275,Receiving/Taking Actions,steal,(Super cluster 14: Acquisition and Ownership)
276,Receiving/Taking Actions,accept,(Super cluster 14: Acquisition and Ownership)
277,Receiving/Taking Actions,attract,(Super cluster 14: Acquisition and Ownership)
278,Receiving/Taking Actions,capture,(Super cluster 14: Acquisition and Ownership)
279,Finding/Keeping,find,(Super cluster 14: Acquisition and Ownership)
280,Finding/Keeping,keep,(Super cluster 14: Acquisition and Ownership)
281,Finding/Keeping,bury,(Super cluster 14: Acquisition and Ownership)
282,Finding/Keeping,hide,(Super cluster 14: Acquisition and Ownership)
283,Finding/Keeping,spot,(Super cluster 14: Acquisition and Ownership)
284,Fences and Ledges,gate,(Super cluster 15: Parts of Dwellings)
285,Fences and Ledges,fence,(Super cluster 15: Parts of Dwellings)
286,Fences and Ledges,mailbox,(Super cluster 15: Parts of Dwellings)
287,Fences and Ledges,shelf,(Super cluster 15: Parts of Dwellings)
288,Rooms,basement,(Super cluster 15: Parts of Dwellings)
289,Rooms,bathroom,(Super cluster 15: Parts of Dwellings)
290,Rooms,cellar,(Super cluster 15: Parts of Dwellings)
291,Rooms,closet,(Super cluster 15: Parts of Dwellings)
292,Rooms,garage,(Super cluster 15: Parts of Dwellings)
293,Rooms,hall,(Super cluster 15: Parts of Dwellings)
294,Rooms,kitchen,(Super cluster 15: Parts of Dwellings)
295,Rooms,nursery,(Super cluster 15: Parts of Dwellings)
296,Rooms,room,(Super cluster 15: Parts of Dwellings)
297,Rooms,bedroom,(Super cluster 15: Parts of Dwellings)
298,Rooms,doorway,(Super cluster 15: Parts of Dwellings)
299,Rooms,hallway,(Super cluster 15: Parts of Dwellings)
300,Rooms,playroom,(Super cluster 15: Parts of Dwellings)
